y z u v
-1.5207 1.5483 0.0696 0.0125
-1.5207 1.6586 0.0660 0.0052
-1.5207 1.7690 0.0615 -0.0006
-1.5207 1.8793 0.0565 -0.0051
-1.5207 1.9897 0.0515 -0.0085
-1.5207 2.1000 0.0466 -0.0109
-1.3759 -1.1000 -0.0464 -0.0293
-1.3759 -0.9897 -0.0531 -0.0291
-1.3759 -0.8793 -0.0606 -0.0278
-1.3759 -0.7690 -0.0686 -0.0253
-1.3759 -0.6586 -0.0771 -0.0210
-1.3759 -0.5483 -0.0855 -0.0147
-1.3759 -0.4379 -0.0932 -0.0059
-1.3759 -0.3276 -0.0994 0.0056
-1.3759 -0.2172 -0.1030 0.0197
-1.3759 -0.1069 -0.1029 0.0361
-1.3759 0.0034 -0.0981 0.0538
-1.3759 0.1138 -0.0880 0.0714
-1.3759 0.2241 -0.0727 0.0873
-1.3759 0.3345 -0.0530 0.1002
-1.3759 0.4448 -0.0299 0.1090
-1.3759 0.5552 -0.0051 0.1127
-1.3759 0.6655 0.0199 0.1113
-1.3759 0.7759 0.0432 0.1049
-1.3759 0.8862 0.0634 0.0941
-1.3759 0.9966 0.0793 0.0800
-1.3759 1.1069 0.0902 0.0641
-1.3759 1.2172 0.0959 0.0478
-1.3759 1.3276 0.0970 0.0324
-1.3759 1.4379 0.0945 0.0188
-1.3759 1.5483 0.0894 0.0076
-1.3759 1.6586 0.0827 -0.0012
-1.3759 1.7690 0.0753 -0.0078
-1.3759 1.8793 0.0678 -0.0126
-1.3759 1.9897 0.0605 -0.0158
-1.3759 2.1000 0.0537 -0.0177
-1.2310 -1.1000 -0.0511 -0.0394
-1.2310 -0.9897 -0.0598 -0.0405
-1.2310 -0.8793 -0.0697 -0.0406
-1.2310 -0.7690 -0.0809 -0.0393
-1.2310 -0.6586 -0.0932 -0.0358
-1.2310 -0.5483 -0.1063 -0.0296
-1.2310 -0.4379 -0.1193 -0.0197
-1.2310 -0.3276 -0.1311 -0.0055
-1.2310 -0.2172 -0.1397 0.0135
-1.2310 -0.1069 -0.1432 0.0368
-1.2310 0.0034 -0.1392 0.0631
-1.2310 0.1138 -0.1266 0.0900
-1.2310 0.2241 -0.1054 0.1146
-1.2310 0.3345 -0.0767 0.1345
-1.2310 0.4448 -0.0428 0.1477
-1.2310 0.5552 -0.0061 0.1533
-1.2310 0.6655 0.0306 0.1509
-1.2310 0.7759 0.0649 0.1407
-1.2310 0.8862 0.0942 0.1237
-1.2310 0.9966 0.1162 0.1015
-1.2310 1.1069 0.1297 0.0768
-1.2310 1.2172 0.1347 0.0522
-1.2310 1.3276 0.1326 0.0301
-1.2310 1.4379 0.1254 0.0119
-1.2310 1.5483 0.1152 -0.0022
-1.2310 1.6586 0.1036 -0.0124
-1.2310 1.7690 0.0918 -0.0192
-1.2310 1.8793 0.0806 -0.0235
-1.2310 1.9897 0.0703 -0.0259
-1.2310 2.1000 0.0612 -0.0269
-1.0862 -1.1000 -0.0551 -0.0519
-1.0862 -0.9897 -0.0658 -0.0552
-1.0862 -0.8793 -0.0786 -0.0577
-1.0862 -0.7690 -0.0937 -0.0589
-1.0862 -0.6586 -0.1113 -0.0577
-1.0862 -0.5483 -0.1312 -0.0531
-1.0862 -0.4379 -0.1527 -0.0434
-1.0862 -0.3276 -0.1741 -0.0269
-1.0862 -0.2172 -0.1928 -0.0020
-1.0862 -0.1069 -0.2043 0.0317
-1.0862 0.0034 -0.2040 0.0722
-1.0862 0.1138 -0.1884 0.1151
-1.0862 0.2241 -0.1574 0.1544
-1.0862 0.3345 -0.1141 0.1854
-1.0862 0.4448 -0.0627 0.2055
-1.0862 0.5552 -0.0075 0.2138
-1.0862 0.6655 0.0480 0.2100
-1.0862 0.7759 0.0999 0.1941
-1.0862 0.8862 0.1440 0.1668
-1.0862 0.9966 0.1758 0.1307
-1.0862 1.1069 0.1924 0.0906
-1.0862 1.2172 0.1940 0.0523
-1.0862 1.3276 0.1842 0.0202
-1.0862 1.4379 0.1676 -0.0039
-1.0862 1.5483 0.1482 -0.0205
-1.0862 1.6586 0.1287 -0.0308
-1.0862 1.7690 0.1105 -0.0366
-1.0862 1.8793 0.0943 -0.0392
-1.0862 1.9897 0.0803 -0.0397
-1.0862 2.1000 0.0684 -0.0389
-0.9414 -1.1000 -0.0574 -0.0669
-0.9414 -0.9897 -0.0702 -0.0735
-0.9414 -0.8793 -0.0860 -0.0799
-0.9414 -0.7690 -0.1057 -0.0855
-0.9414 -0.6586 -0.1298 -0.0892
-0.9414 -0.5483 -0.1589 -0.0894
-0.9414 -0.4379 -0.1932 -0.0834
-0.9414 -0.3276 -0.2314 -0.0675
-0.9414 -0.2172 -0.2699 -0.0371
-0.9414 -0.1069 -0.3007 0.0117
-0.9414 0.0034 -0.3117 0.0777
-0.9414 0.1138 -0.2925 0.1510
-0.9414 0.2241 -0.2432 0.2164
-0.9414 0.3345 -0.1733 0.2646
-0.9414 0.4448 -0.0932 0.2938
-0.9414 0.5552 -0.0092 0.3055
-0.9414 0.6655 0.0753 0.3004
-0.9414 0.7759 0.1565 0.2771
-0.9414 0.8862 0.2274 0.2337
-0.9414 0.9966 0.2774 0.1722
-0.9414 1.1069 0.2972 0.1025
-0.9414 1.2172 0.2875 0.0398
-0.9414 1.3276 0.2591 -0.0066
-0.9414 1.4379 0.2237 -0.0362
-0.9414 1.5483 0.1885 -0.0526
-0.9414 1.6586 0.1570 -0.0602
-0.9414 1.7690 0.1300 -0.0622
-0.9414 1.8793 0.1077 -0.0609
-0.9414 1.9897 0.0893 -0.0578
-0.9414 2.1000 0.0743 -0.0539
-0.7966 -1.1000 -0.0571 -0.0841
-0.7966 -0.9897 -0.0715 -0.0951
-0.7966 -0.8793 -0.0900 -0.1072
-0.7966 -0.7690 -0.1140 -0.1199
-0.7966 -0.6586 -0.1452 -0.1324
-0.7966 -0.5483 -0.1854 -0.1429
-0.7966 -0.4379 -0.2371 -0.1482
-0.7966 -0.3276 -0.3020 -0.1422
-0.7966 -0.2172 -0.3790 -0.1144
-0.7966 -0.1069 -0.4580 -0.0488
-0.7966 0.0034 -0.5081 0.0672
-0.7966 0.1138 -0.4834 0.2114
-0.7966 0.2241 -0.3868 0.3249
-0.7966 0.3345 -0.2640 0.3938
-0.7966 0.4448 -0.1370 0.4288
-0.7966 0.5552 -0.0115 0.4436
-0.7966 0.6655 0.1147 0.4393
-0.7966 0.7759 0.2445 0.4130
-0.7966 0.8862 0.3699 0.3500
-0.7966 0.9966 0.4666 0.2393
-0.7966 1.1069 0.4885 0.0999
-0.7966 1.2172 0.4391 -0.0094
-0.7966 1.3276 0.3644 -0.0710
-0.7966 1.4379 0.2927 -0.0983
-0.7966 1.5483 0.2326 -0.1062
-0.7966 1.6586 0.1848 -0.1042
-0.7966 1.7690 0.1475 -0.0976
-0.7966 1.8793 0.1184 -0.0891
-0.7966 1.9897 0.0957 -0.0803
-0.7966 2.1000 0.0780 -0.0718
-0.6517 -1.1000 -0.0532 -0.1026
-0.6517 -0.9897 -0.0682 -0.1192
-0.6517 -0.8793 -0.0882 -0.1387
-0.6517 -0.7690 -0.1152 -0.1615
-0.6517 -0.6586 -0.1520 -0.1875
-0.6517 -0.5483 -0.2026 -0.2163
-0.6517 -0.4379 -0.2729 -0.2458
-0.6517 -0.3276 -0.3717 -0.2708
-0.6517 -0.2172 -0.5114 -0.2779
-0.6517 -0.1069 -0.7054 -0.2312
-0.6517 0.0034 -0.9290 -0.0347
-0.6517 0.1138 -0.9104 0.3914
-0.6517 0.2241 -0.5851 0.5272
-0.6517 0.3345 -0.3975 0.6405
-0.6517 0.4448 -0.1826 0.5935
-0.6517 0.5552 -0.0096 0.6752
-0.6517 0.6655 0.1424 0.6154
-0.6517 0.7759 0.3847 0.6670
-0.6517 0.8862 0.5664 0.5783
-0.6517 0.9966 0.9072 0.4137
-0.6517 1.1069 0.8900 0.0037
-0.6517 1.2172 0.6720 -0.1709
-0.6517 1.3276 0.4905 -0.2119
-0.6517 1.4379 0.3611 -0.2069
-0.6517 1.5483 0.2700 -0.1874
-0.6517 1.6586 0.2049 -0.1646
