y z u v
0.9414 -1.1000 0.0744 -0.0541
0.9414 -0.9897 0.0894 -0.0581
0.9414 -0.8793 0.1077 -0.0612
0.9414 -0.7690 0.1301 -0.0625
0.9414 -0.6586 0.1570 -0.0606
0.9414 -0.5483 0.1885 -0.0531
0.9414 -0.4379 0.2237 -0.0368
0.9414 -0.3276 0.2592 -0.0072
0.9414 -0.2172 0.2876 0.0392
0.9414 -0.1069 0.2973 0.1019
0.9414 0.0034 0.2775 0.1716
0.9414 0.1138 0.2274 0.2332
0.9414 0.2241 0.1565 0.2767
0.9414 0.3345 0.0754 0.3002
0.9414 0.4448 -0.0091 0.3055
0.9414 0.5552 -0.0933 0.2939
0.9414 0.6655 -0.1734 0.2649
0.9414 0.7759 -0.2432 0.2169
0.9414 0.8862 -0.2926 0.1516
0.9414 0.9966 -0.3118 0.0784
0.9414 1.1069 -0.3007 0.0124
0.9414 1.2172 -0.2699 -0.0364
0.9414 1.3276 -0.2315 -0.0668
0.9414 1.4379 -0.1932 -0.0827
0.9414 1.5483 -0.1590 -0.0888
0.9414 1.6586 -0.1298 -0.0887
0.9414 1.7690 -0.1057 -0.0850
0.9414 1.8793 -0.0861 -0.0795
0.9414 1.9897 -0.0702 -0.0731
0.9414 2.1000 -0.0575 -0.0666
1.0862 -1.1000 0.0684 -0.0391
1.0862 -0.9897 0.0804 -0.0399
1.0862 -0.8793 0.0944 -0.0395
1.0862 -0.7690 0.1105 -0.0369
1.0862 -0.6586 0.1287 -0.0311
1.0862 -0.5483 0.1482 -0.0208
1.0862 -0.4379 0.1677 -0.0043
1.0862 -0.3276 0.1843 0.0198
1.0862 -0.2172 0.1941 0.0519
1.0862 -0.1069 0.1924 0.0902
1.0862 0.0034 0.1758 0.1304
1.0862 0.1138 0.1440 0.1665
1.0862 0.2241 0.0999 0.1939
1.0862 0.3345 0.0480 0.2099
1.0862 0.4448 -0.0074 0.2138
1.0862 0.5552 -0.0627 0.2056
1.0862 0.6655 -0.1141 0.1856
1.0862 0.7759 -0.1574 0.1547
1.0862 0.8862 -0.1884 0.1155
1.0862 0.9966 -0.2040 0.0727
1.0862 1.1069 -0.2043 0.0321
1.0862 1.2172 -0.1928 -0.0015
1.0862 1.3276 -0.1742 -0.0264
1.0862 1.4379 -0.1527 -0.0430
1.0862 1.5483 -0.1312 -0.0527
1.0862 1.6586 -0.1114 -0.0574
1.0862 1.7690 -0.0938 -0.0585
1.0862 1.8793 -0.0786 -0.0574
1.0862 1.9897 -0.0658 -0.0550
1.0862 2.1000 -0.0551 -0.0517
1.2310 -1.1000 0.0612 -0.0271
1.2310 -0.9897 0.0704 -0.0261
1.2310 -0.8793 0.0806 -0.0237
1.2310 -0.7690 0.0918 -0.0194
1.2310 -0.6586 0.1036 -0.0126
1.2310 -0.5483 0.1152 -0.0024
1.2310 -0.4379 0.1255 0.0116
1.2310 -0.3276 0.1327 0.0298
1.2310 -0.2172 0.1348 0.0519
1.2310 -0.1069 0.1297 0.0765
1.2310 0.0034 0.1162 0.1013
1.2310 0.1138 0.0942 0.1235
1.2310 0.2241 0.0649 0.1406
1.2310 0.3345 0.0306 0.1508
1.2310 0.4448 -0.0061 0.1533
1.2310 0.5552 -0.0428 0.1478
1.2310 0.6655 -0.0767 0.1346
1.2310 0.7759 -0.1054 0.1148
1.2310 0.8862 -0.1267 0.0902
1.2310 0.9966 -0.1392 0.0634
1.2310 1.1069 -0.1432 0.0371
1.2310 1.2172 -0.1398 0.0138
1.2310 1.3276 -0.1311 -0.0051
1.2310 1.4379 -0.1194 -0.0194
1.2310 1.5483 -0.1063 -0.0293
1.2310 1.6586 -0.0933 -0.0356
1.2310 1.7690 -0.0809 -0.0390
1.2310 1.8793 -0.0697 -0.0404
1.2310 1.9897 -0.0598 -0.0403
1.2310 2.1000 -0.0512 -0.0392
1.3759 -1.1000 0.0538 -0.0179
1.3759 -0.9897 0.0606 -0.0159
1.3759 -0.8793 0.0678 -0.0127
1.3759 -0.7690 0.0754 -0.0080
1.3759 -0.6586 0.0827 -0.0014
1.3759 -0.5483 0.0894 0.0075
1.3759 -0.4379 0.0945 0.0187
1.3759 -0.3276 0.0970 0.0322
1.3759 -0.2172 0.0959 0.0476
1.3759 -0.1069 0.0902 0.0639
1.3759 0.0034 0.0793 0.0799
1.3759 0.1138 0.0635 0.0940
1.3759 0.2241 0.0432 0.1048
1.3759 0.3345 0.0199 0.1113
1.3759 0.4448 -0.0051 0.1128
1.3759 0.5552 -0.0299 0.1090
1.3759 0.6655 -0.0530 0.1004
1.3759 0.7759 -0.0728 0.0875
1.3759 0.8862 -0.0880 0.0715
1.3759 0.9966 -0.0981 0.0540
1.3759 1.1069 -0.1029 0.0363
1.3759 1.2172 -0.1030 0.0200
1.3759 1.3276 -0.0994 0.0058
1.3759 1.4379 -0.0932 -0.0057
1.3759 1.5483 -0.0855 -0.0145
1.3759 1.6586 -0.0771 -0.0208
1.3759 1.7690 -0.0687 -0.0251
1.3759 1.8793 -0.0606 -0.0276
1.3759 1.9897 -0.0531 -0.0289
1.3759 2.1000 -0.0464 -0.0292
1.5207 -1.1000 0.0466 -0.0110
1.5207 -0.9897 0.0515 -0.0086
1.5207 -0.8793 0.0566 -0.0052
1.5207 -0.7690 0.0615 -0.0007
1.5207 -0.6586 0.0660 0.0051
1.5207 -0.5483 0.0696 0.0124
1.5207 -0.4379 0.0718 0.0211
1.5207 -0.3276 0.0720 0.0311
1.5207 -0.2172 0.0697 0.0420
1.5207 -0.1069 0.0643 0.0532
1.5207 0.0034 0.0557 0.0638
1.5207 0.1138 0.0439 0.0730
1.5207 0.2241 0.0295 0.0800
1.5207 0.3345 0.0131 0.0841
1.5207 0.4448 -0.0042 0.0850
1.5207 0.5552 -0.0215 0.0824
1.5207 0.6655 -0.0376 0.0766
1.5207 0.7759 -0.0517 0.0680
1.5207 0.8862 -0.0629 0.0574
1.5207 0.9966 -0.0710 0.0455
1.5207 1.1069 -0.0756 0.0333
1.5207 1.2172 -0.0772 0.0217
1.5207 1.3276 -0.0762 0.0111
1.5207 1.4379 -0.0731 0.0021
1.5207 1.5483 -0.0687 -0.0053
1.5207 1.6586 -0.0634 -0.0111
1.5207 1.7690 -0.0577 -0.0153
1.5207 1.8793 -0.0520 -0.0183
1.5207 1.9897 -0.0465 -0.0202
1.5207 2.1000 -0.0414 -0.0213
1.6655 -1.1000 0.0401 -0.0060
1.6655 -0.9897 0.0436 -0.0036
1.6655 -0.8793 0.0470 -0.0004
1.6655 -0.7690 0.0501 0.0037
1.6655 -0.6586 0.0527 0.0086
1.6655 -0.5483 0.0545 0.0145
1.6655 -0.4379 0.0551 0.0212
1.6655 -0.3276 0.0542 0.0287
1.6655 -0.2172 0.0515 0.0365
1.6655 -0.1069 0.0468 0.0442
1.6655 0.0034 0.0400 0.0515
1.6655 0.1138 0.0311 0.0577
1.6655 0.2241 0.0206 0.0623
1.6655 0.3345 0.0088 0.0650
1.6655 0.4448 -0.0035 0.0654
1.6655 0.5552 -0.0158 0.0636
1.6655 0.6655 -0.0274 0.0597
1.6655 0.7759 -0.0377 0.0538
1.6655 0.8862 -0.0461 0.0465
1.6655 0.9966 -0.0525 0.0383
1.6655 1.1069 -0.0567 0.0297
1.6655 1.2172 -0.0588 0.0212
1.6655 1.3276 -0.0590 0.0133
1.6655 1.4379 -0.0577 0.0063
1.6655 1.5483 -0.0553 0.0003
1.6655 1.6586 -0.0520 -0.0047
1.6655 1.7690 -0.0483 -0.0086
1.6655 1.8793 -0.0443 -0.0116
1.6655 1.9897 -0.0404 -0.0137
1.6655 2.1000 -0.0365 -0.0152
1.8103 -1.1000 0.0343 -0.0025
1.8103 -0.9897 0.0367 -0.0001
1.8103 -0.8793 0.0389 0.0028
1.8103 -0.7690 0.0409 0.0062
1.8103 -0.6586 0.0423 0.0103
1.8103 -0.5483 0.0430 0.0150
1.8103 -0.4379 0.0428 0.0202
1.8103 -0.3276 0.0414 0.0257
1.8103 -0.2172 0.0388 0.0314
1.8103 -0.1069 0.0347 0.0369
1.8103 0.0034 0.0293 0.0420
1.8103 0.1138 0.0225 0.0462
1.8103 0.2241 0.0147 0.0493
1.8103 0.3345 0.0060 0.0511
1.8103 0.4448 -0.0030 0.0514
1.8103 0.5552 -0.0119 0.0501
1.8103 0.6655 -0.0204 0.0473
1.8103 0.7759 -0.0281 0.0432
1.8103 0.8862 -0.0345 0.0381
1.8103 0.9966 -0.0396 0.0323
1.8103 1.1069 -0.0432 0.0261
1.8103 1.2172 -0.0454 0.0199
1.8103 1.3276 -0.0462 0.0139
1.8103 1.4379 -0.0459 0.0084
1.8103 1.5483 -0.0447 0.0036
1.8103 1.6586 -0.0427 -0.0006
1.8103 1.7690 -0.0403 -0.0040
1.8103 1.8793 -0.0376 -0.0068
1.8103 1.9897 -0.0348 -0.0090
1.8103 2.1000 -0.0319 -0.0105
1.9552 -1.1000 0.0292 0.0000
1.9552 -0.9897 0.0309 0.0021
1.9552 -0.8793 0.0323 0.0047
1.9552 -0.7690 0.0334 0.0076
1.9552 -0.6586 0.0341 0.0110
1.9552 -0.5483 0.0342 0.0147
1.9552 -0.4379 0.0335 0.0187
1.9552 -0.3276 0.0320 0.0228
1.9552 -0.2172 0.0296 0.0270
1.9552 -0.1069 0.0262 0.0310
1.9552 0.0034 0.0219 0.0346
1.9552 0.1138 0.0166 0.0375
1.9552 0.2241 0.0107 0.0397
1.9552 0.3345 0.0042 0.0409
1.9552 0.4448 -0.0025 0.0410
1.9552 0.5552 -0.0092 0.0401
1.9552 0.6655 -0.0156 0.0381
1.9552 0.7759 -0.0213 0.0352
1.9552 0.8862 -0.0263 0.0315
1.9552 0.9966 -0.0304 0.0273
1.9552 1.1069 -0.0335 0.0227
1.9552 1.2172 -0.0355 0.0181
1.9552 1.3276 -0.0366 0.0136
1.9552 1.4379 -0.0368 0.0093
1.9552 1.5483 -0.0363 0.0054
1.9552 1.6586 -0.0352 0.0020
1.9552 1.7690 -0.0337 -0.0010
1.9552 1.8793 -0.0319 -0.0035
1.9552 1.9897 -0.0299 -0.0055
1.9552 2.1000 -0.0278 -0.0071
2.1000 -1.1000 0.0249 0.0017
2.1000 -0.9897 0.0260 0.0036
2.1000 -0.8793 0.0269 0.0057
2.1000 -0.7690 0.0275 0.0082
2.1000 -0.6586 0.0277 0.0109
2.1000 -0.5483 0.0274 0.0139
2.1000 -0.4379 0.0265 0.0170
2.1000 -0.3276 0.0251 0.0201
2.1000 -0.2172 0.0229 0.0232
2.1000 -0.1069 0.0201 0.0262
2.1000 0.0034 0.0166 0.0288
2.1000 0.1138 0.0125 0.0309
2.1000 0.2241 0.0079 0.0324
2.1000 0.3345 0.0029 0.0332
2.1000 0.4448 -0.0022 0.0333
2.1000 0.5552 -0.0072 0.0326
2.1000 0.6655 -0.0121 0.0311
2.1000 0.7759 -0.0165 0.0290
2.1000 0.8862 -0.0204 0.0263
2.1000 0.9966 -0.0237 0.0232
2.1000 1.1069 -0.0263 0.0198
2.1000 1.2172 -0.0281 0.0163
2.1000 1.3276 -0.0293 0.0128
2.1000 1.4379 -0.0298 0.0095
2.1000 1.5483 -0.0297 0.0063
2.1000 1.6586 -0.0292 0.0035
2.1000 1.7690 -0.0283 0.0010
2.1000 1.8793 -0.0271 -0.0012
2.1000 1.9897 -0.0257 -0.0030
2.1000 2.1000 -0.0242 -0.0045
